,cleaned,class
0, @USER as a woman you should not complain about cleaning up your house as a man you should always take the trash out,1
1, @USER boy dats coldtyga dwn bad for cuffin dat hoe in the st place,0
2, @USER dawg @USER you ever fuck a bitch and she sta to cry you be confused as shit,0
3, @USER @USER she look like a tranny,0
4, @USER the shit you hear about me might be true or it might be faker than the bitch who told it to ya ,0
5,@USER the shit just blows meclaim you so faithful and down for somebody but still fucking with hoes ,0
6,@USER i can not just sit up and hate on another bitch i got too much shit going on,0
7,@USER because i am tired of you big bitches coming for us skinny girls,0
8, you might not get ya bitch back that is that ,0
9, @USER hobbies include fighting mariam bitch,0
10, keeks is a bitch she curves everyone laugh out loud i walked into a conversation like this smh,0
11, murda gang bitch its gang land ,0
12, so hoes that smoke are losers yea go on ig,0
13, bad bitches is the only thing that i like ,0
14, bitch get up off me ,0
15, bitch nigga miss me with it ,0
16, bitch please whatever ,0
17, bitch who do you love ,0
18, bitches get cut off everyday b ,0
19, black bottle a bad bitch ,0
20, broke bitch cannot tell me nothing ,0
21, cancel that bitch like nino ,0
22, cannot you see these hoes will not change ,0
23, fuck no that bitch do not even suck dick the kermit videos bout to fuck ig up,0
24, got ya bitch tip toeing on my hardwood floors HTTPURL,0
25, her pussy lips like heaven doors ,0
26, hoe what its hitting for ,0
27, i met that pussy on ocean dr i gave that pussy a pill ,0
28, i need a trippy bitch who fuck on hennessy ,0
29, i spend my money how i want bitch its my business ,0
30, i txt my old bitch my new bitch pussy wetter ,0
31, id say i am back to the old me but my old bitches would get excited ,0
32, if you are not bout that murder game pussy nigga shut up ,0
33, if you are toes are not done you pussy stinks ,0
34, i am done with bitter bitches its a wrap for that if you a angry bird there is a app for that ,0
35, is that ya bitch ,0
36, it are not nothing to cut a bitch off ,0
37, jus meet son now he ya mane ass bitches shots,0
38, lames crying over hoes that is tears of a clown ,0
39, like snoop said in we do not love these hoes ,0
40, momma said no pussy cats inside my doghouse ,1
41, most hated but the hoes favorite mw sevenone HTTPURL,0
42, nice girls bad make me get naughty bad yello hoe real nice body down south chick like them real thick HTTPURL,0
43, pimps up pimps up hoes down future voice,0
44, post a picture of that pussy get likes ,0
